filename,label,area,equivalent_diameter,centroid-0,centroid-1,area_sqmicron,eq_diam_micron
"25 mM 2 uM.tif [slice 1, PNG-style]",1,20.0,5.046265044040321,8.9,509.7,0.8,1.0092530088080642
"25 mM 2 uM.tif [slice 1, PNG-style]",2,24.0,5.527906391541368,13.5,917.1666666666666,0.96,1.1055812783082737
"25 mM 2 uM.tif [slice 1, PNG-style]",3,12.0,3.9088200952233594,19.5,247.0,0.48,0.7817640190446719
"25 mM 2 uM.tif [slice 1, PNG-style]",4,12.0,3.9088200952233594,19.5,250.0,0.48,0.7817640190446719
"25 mM 2 uM.tif [slice 1, PNG-style]",5,36.0,6.770275002573076,30.5,528.5,1.44,1.3540550005146152
"25 mM 2 uM.tif [slice 1, PNG-style]",6,64.0,9.0270333367641,63.25,990.5,2.56,1.8054066673528202
"25 mM 2 uM.tif [slice 1, PNG-style]",7,13.0,4.068428945128219,71.23076923076923,603.0,0.52,0.8136857890256438
"25 mM 2 uM.tif [slice 1, PNG-style]",8,11.0,3.742410318509555,74.0,599.7272727272727,0.44,0.7484820637019111
"25 mM 2 uM.tif [slice 1, PNG-style]",9,32.0,6.383076486422923,74.5,835.5,1.28,1.2766152972845846
"25 mM 2 uM.tif [slice 1, PNG-style]",10,24.0,5.527906391541368,75.16666666666667,526.1666666666666,0.96,1.1055812783082737
"25 mM 2 uM.tif [slice 1, PNG-style]",11,16.0,4.51351666838205,76.375,569.75,0.64,0.9027033336764101
"25 mM 2 uM.tif [slice 1, PNG-style]",12,20.0,5.046265044040321,78.9,803.7,0.8,1.0092530088080642
"25 mM 2 uM.tif [slice 1, PNG-style]",13,12.0,3.9088200952233594,80.0,569.5,0.48,0.7817640190446719
"25 mM 2 uM.tif [slice 1, PNG-style]",14,40.0,7.136496464611085,84.3,884.9,1.6,1.427299292922217
"25 mM 2 uM.tif [slice 1, PNG-style]",15,12.0,3.9088200952233594,87.5,951.0,0.48,0.7817640190446719
"25 mM 2 uM.tif [slice 1, PNG-style]",16,16.0,4.51351666838205,86.75,954.125,0.64,0.9027033336764101
