filename,label,area,equivalent_diameter,centroid-0,centroid-1,area_sqmicron,eq_diam_micron
"DMSO.tif [slice 2, PNG-style]",1,10.0,3.5682482323055424,78.8,403.7,0.4,0.7136496464611085
"DMSO.tif [slice 2, PNG-style]",2,10.0,3.5682482323055424,82.2,403.7,0.4,0.7136496464611085
"DMSO.tif [slice 2, PNG-style]",3,20.0,5.046265044040321,134.1,579.7,0.8,1.0092530088080642
"DMSO.tif [slice 2, PNG-style]",4,32.0,6.383076486422923,140.25,560.75,1.28,1.2766152972845846
"DMSO.tif [slice 2, PNG-style]",5,4.0,2.256758334191025,182.5,500.5,0.16,0.45135166683820505
"DMSO.tif [slice 2, PNG-style]",6,4.0,2.256758334191025,186.5,496.5,0.16,0.45135166683820505
"DMSO.tif [slice 2, PNG-style]",7,12.0,3.9088200952233594,185.83333333333334,499.8333333333333,0.48,0.7817640190446719
"DMSO.tif [slice 2, PNG-style]",8,32.0,6.383076486422923,220.5,395.5,1.28,1.2766152972845846
"DMSO.tif [slice 2, PNG-style]",9,20.0,5.046265044040321,271.3,390.9,0.8,1.0092530088080642
"DMSO.tif [slice 2, PNG-style]",10,10.0,3.5682482323055424,535.7,354.8,0.4,0.7136496464611085
"DMSO.tif [slice 2, PNG-style]",11,14.0,4.222008245644752,536.5,358.2857142857143,0.56,0.8444016491289504
"DMSO.tif [slice 2, PNG-style]",12,5.0,2.5231325220201604,814.8,704.4,0.2,0.5046265044040321
"DMSO.tif [slice 2, PNG-style]",13,13.0,4.068428945128219,818.3076923076923,705.1538461538462,0.52,0.8136857890256438
"DMSO.tif [slice 2, PNG-style]",14,14.0,4.222008245644752,822.8571428571429,705.0714285714286,0.56,0.8444016491289504
"DMSO.tif [slice 2, PNG-style]",15,4.0,2.256758334191025,822.5,708.5,0.16,0.45135166683820505
"DMSO.tif [slice 2, PNG-style]",16,56.0,8.444016491289505,945.9285714285714,67.5,2.24,1.6888032982579009
"DMSO.tif [slice 2, PNG-style]",17,23.0,5.4115163798060095,946.3913043478261,73.43478260869566,0.92,1.082303275961202
"DMSO.tif [slice 2, PNG-style]",18,13.0,4.068428945128219,949.0,77.3076923076923,0.52,0.8136857890256438
"DMSO.tif [slice 2, PNG-style]",19,20.0,5.046265044040321,953.0,77.5,0.8,1.0092530088080642
