filename,label,area,equivalent_diameter,centroid-0,centroid-1,area_sqmicron,eq_diam_micron
"25 mM 10 uM.tif [slice 0, PNG-style]",1,24.0,5.527906391541368,6.166666666666667,762.5,0.96,1.1055812783082737
"25 mM 10 uM.tif [slice 0, PNG-style]",2,20.0,5.046265044040321,13.3,880.9,0.8,1.0092530088080642
"25 mM 10 uM.tif [slice 0, PNG-style]",3,28.0,5.970821321441846,16.785714285714285,953.6428571428571,1.12,1.1941642642883692
"25 mM 10 uM.tif [slice 0, PNG-style]",4,36.0,6.770275002573076,26.5,470.5,1.44,1.3540550005146152
"25 mM 10 uM.tif [slice 0, PNG-style]",5,20.0,5.046265044040321,31.7,872.9,0.8,1.0092530088080642
"25 mM 10 uM.tif [slice 0, PNG-style]",6,12.0,3.9088200952233594,33.0,333.5,0.48,0.7817640190446719
"25 mM 10 uM.tif [slice 0, PNG-style]",7,12.0,3.9088200952233594,36.0,333.5,0.48,0.7817640190446719
"25 mM 10 uM.tif [slice 0, PNG-style]",8,28.0,5.970821321441846,37.07142857142857,158.5,1.12,1.1941642642883692
"25 mM 10 uM.tif [slice 0, PNG-style]",9,12.0,3.9088200952233594,39.5,597.0,0.48,0.7817640190446719
"25 mM 10 uM.tif [slice 0, PNG-style]",10,12.0,3.9088200952233594,39.5,600.0,0.48,0.7817640190446719
"25 mM 10 uM.tif [slice 0, PNG-style]",11,28.0,5.970821321441846,47.92857142857143,604.5,1.12,1.1941642642883692
"25 mM 10 uM.tif [slice 0, PNG-style]",12,28.0,5.970821321441846,48.5,1001.9285714285714,1.12,1.1941642642883692
"25 mM 10 uM.tif [slice 0, PNG-style]",13,18.0,4.787307364817192,50.5,880.2222222222222,0.72,0.9574614729634383
"25 mM 10 uM.tif [slice 0, PNG-style]",14,18.0,4.787307364817192,52.27777777777778,885.2222222222222,0.72,0.9574614729634383
"25 mM 10 uM.tif [slice 0, PNG-style]",15,12.0,3.9088200952233594,57.0,661.5,0.48,0.7817640190446719
"25 mM 10 uM.tif [slice 0, PNG-style]",16,40.0,7.136496464611085,58.1,492.5,1.6,1.427299292922217
"25 mM 10 uM.tif [slice 0, PNG-style]",17,12.0,3.9088200952233594,60.0,661.5,0.48,0.7817640190446719
"25 mM 10 uM.tif [slice 0, PNG-style]",18,36.0,6.770275002573076,63.833333333333336,516.9444444444445,1.44,1.3540550005146152
"25 mM 10 uM.tif [slice 0, PNG-style]",19,24.0,5.527906391541368,70.83333333333333,864.5,0.96,1.1055812783082737
"25 mM 10 uM.tif [slice 0, PNG-style]",20,20.0,5.046265044040321,71.3,992.9,0.8,1.0092530088080642
