filename,label,area,equivalent_diameter,centroid-0,centroid-1,area_sqmicron,eq_diam_micron
"old 10 uM.tif [slice 0, PNG-style]",1,20.0,5.046265044040321,24.4,748.7,0.8,1.0092530088080642
"old 10 uM.tif [slice 0, PNG-style]",2,20.0,5.046265044040321,26.5,22.5,0.8,1.0092530088080642
"old 10 uM.tif [slice 0, PNG-style]",3,12.0,3.9088200952233594,28.0,747.5,0.48,0.7817640190446719
"old 10 uM.tif [slice 0, PNG-style]",4,28.0,5.970821321441846,31.071428571428573,198.5,1.12,1.1941642642883692
"old 10 uM.tif [slice 0, PNG-style]",5,20.0,5.046265044040321,34.5,500.5,0.8,1.0092530088080642
"old 10 uM.tif [slice 0, PNG-style]",6,32.0,6.383076486422923,36.75,30.0,1.28,1.2766152972845846
"old 10 uM.tif [slice 0, PNG-style]",7,32.0,6.383076486422923,40.25,788.75,1.28,1.2766152972845846
"old 10 uM.tif [slice 0, PNG-style]",8,20.0,5.046265044040321,42.1,589.7,0.8,1.0092530088080642
"old 10 uM.tif [slice 0, PNG-style]",9,9.0,3.385137501286538,42.44444444444444,731.2222222222222,0.36,0.6770275002573076
"old 10 uM.tif [slice 0, PNG-style]",10,24.0,5.527906391541368,45.0,726.25,0.96,1.1055812783082737
"old 10 uM.tif [slice 0, PNG-style]",11,20.0,5.046265044040321,45.7,986.1,0.8,1.0092530088080642
"old 10 uM.tif [slice 0, PNG-style]",12,14.0,4.222008245644752,47.5,721.5,0.56,0.8444016491289504
"old 10 uM.tif [slice 0, PNG-style]",13,58.0,8.593479713983122,48.01724137931034,899.3103448275862,2.32,1.7186959427966244
"old 10 uM.tif [slice 0, PNG-style]",14,29.0,6.076507779746499,50.172413793103445,717.448275862069,1.16,1.2153015559492997
"old 10 uM.tif [slice 0, PNG-style]",15,38.0,6.955796338302048,51.13157894736842,906.1052631578947,1.52,1.3911592676604096
"old 10 uM.tif [slice 0, PNG-style]",16,52.0,8.136857890256438,61.26923076923077,507.7307692307692,2.08,1.6273715780512876
"old 10 uM.tif [slice 0, PNG-style]",17,20.0,5.046265044040321,73.3,712.1,0.8,1.0092530088080642
"old 10 uM.tif [slice 0, PNG-style]",18,16.0,4.51351666838205,76.375,933.75,0.64,0.9027033336764101
"old 10 uM.tif [slice 0, PNG-style]",19,20.0,5.046265044040321,80.9,78.1,0.8,1.0092530088080642
"old 10 uM.tif [slice 0, PNG-style]",20,12.0,3.9088200952233594,80.0,933.5,0.48,0.7817640190446719
"old 10 uM.tif [slice 0, PNG-style]",21,32.0,6.383076486422923,80.75,946.25,1.28,1.2766152972845846
"old 10 uM.tif [slice 0, PNG-style]",22,20.0,5.046265044040321,83.7,548.9,0.8,1.0092530088080642
"old 10 uM.tif [slice 0, PNG-style]",23,24.0,5.527906391541368,88.16666666666667,532.1666666666666,0.96,1.1055812783082737
"old 10 uM.tif [slice 0, PNG-style]",24,24.0,5.527906391541368,91.16666666666667,381.1666666666667,0.96,1.1055812783082737
"old 10 uM.tif [slice 0, PNG-style]",25,36.0,6.770275002573076,110.5,510.5,1.44,1.3540550005146152
"old 10 uM.tif [slice 0, PNG-style]",26,33.0,6.4820448144285745,112.84848484848484,937.0909090909091,1.32,1.296408962885715
"old 10 uM.tif [slice 0, PNG-style]",27,40.0,7.136496464611085,113.5,1012.1,1.6,1.427299292922217
