filename,droplet_count,total_area_px
"15 09 2 uM.tif [slice 0, PNG-style]",0,0.0
"15 09 2 uM.tif [slice 1, PNG-style]",578,15304.0
"15 09 2 uM.tif [slice 2, PNG-style]",524,14588.0
"25 mM 10 uM.tif [slice 0, PNG-style]",84,2296.0
"25 mM 10 uM.tif [slice 1, PNG-style]",97,2080.0
"25 mM 10 uM.tif [slice 2, PNG-style]",35,924.0
"25 mM 2 uM.tif [slice 0, PNG-style]",97,2420.0
"25 mM 2 uM.tif [slice 1, PNG-style]",82,1812.0
"25 mM 2 uM.tif [slice 2, PNG-style]",77,2180.0
"DMSO.tif [slice 0, PNG-style]",1,20.0
"DMSO.tif [slice 1, PNG-style]",28,784.0
"DMSO.tif [slice 2, PNG-style]",19,316.0
"NewMax 2 uM.tif [slice 0, PNG-style]",2182,98352.0
"NewMax 2 uM.tif [slice 1, PNG-style]",1137,52288.0
"NewMax 2 uM.tif [slice 2, PNG-style]",619,32620.0
"Old 2uM.tif [slice 0, PNG-style]",4,52.0
"Old 2uM.tif [slice 1, PNG-style]",552,13332.0
"Old 2uM.tif [slice 2, PNG-style]",151,3340.0
"old 10 uM.tif [slice 0, PNG-style]",309,7380.0
"old 10 uM.tif [slice 1, PNG-style]",196,5476.0
"old 10 uM.tif [slice 2, PNG-style]",156,4612.0
"resus 2 uM.tif [slice 0, PNG-style]",0,0.0
"resus 2 uM.tif [slice 1, PNG-style]",5,86.0
"resus 2 uM.tif [slice 2, PNG-style]",4,67.0
TOTAL,6937,260329.0
